startup_name,active_opinion_by_cms,location,hq,founded_date,industry_vertical,horizontal,operating_status,funding_status,employees,funding_round_1_investment,founder_round_1_investors,funding_round_1_date,funding_round_2_investment,founder_round_2_investors,funding_round_2_date,primary_industry,city,founders
Auto Genie,Y,Lahore,Asia-Pacific,2014-01-01,"Automotive, Online Portals",,Active,Seed,11 to 50,100000.0,,2015-09-28,,,,Automotive,Lahore,"Abdullah Cheema, Hamza Abbas Bakhsh"
GrocerApp,Y,Lahore,Asia-Pacific,,"E-Commerce, Food & Beverage, Fashion",,Active,Seed,11 to 50,,Walled City Co,2019-09-05,,,,E-Commerce,Lahore,"Ahmad Saeed, Hassaan Sadiq"
Meru Car Services,,"Lahore, Punjab, Pakistan",Asia-Pacific,,Cleaning Services,"Mobile App, Information Technology",Active,Pre-Seed,11 to 50,,,2020-06-29,,,,Cleaning Services,Lahore,"Meerab Malik, Muhammad Ali Yousaf, Muhammad Yousaf Iqbal"
Amplifyd,,Lahore,Asia-Pacific,,"Analytics, Information Technology","Social Media Marketing, Brand Marketing",Active,Seed,1 to 10,70000.0,,2019-07-10,,,,Analytics,Lahore,"Adil Sarwar, Murad Hasan"
InteraCta,,Lahore,Asia-Pacific,,"Apps, Information Technology",Real Estate,Active,Seed,11 to 50,220000.0,Fatima Ventures,2015-05-26,,,,Apps,Lahore,Muhammad Maaz Kamal
VisioTech Solutions,,Islamabad,Asia-Pacific,,"Financial Services, Management Consulting",,Active,Seed,11 to 50,250000.0,Microsoft for Startups,2016-01-18,,,,Financial Services,Islamabad,"Adeel Javaid, Faisal Yasin"
SystematicBytes,,"Lahore, Punjab, Pakistan",Asia-Pacific,2010-01-01,It Services,"E-commerce,CRM,Enterprise software, ios, web development, software",Active,Seed,1 to 10,10000.0,,2010-01-01,,,,It Services,Lahore,Nauman Qazi
Mauqa Online,Y,Islamabad,Asia-Pacific,2017-01-01,Customer Service,,Active,Seed,1 to 10,,"Queno, i2i Ventures, Karavan",2019-08-06,,,,Customer Service,Islamabad,Muhammad Mustafa
Roamer,,"Islamabad, Pakistan",Asia-Pacific,,Car Sharing,Information Technology,Active,Seed,11 to 50,,,2020-01-08,,,,Car Sharing,Islamabad,"Ali Moeen Malik, Mohammad Hadi"
Consuldents,,Islamabad,Asia-Pacific,,"Training, Professional Services",,Active,Seed,11 to 50,15000.0,Khurram Lalani,2016-04-06,,,,Training,Islamabad,Anum Thanvi
